Name,zcmb,zhel,error,mb,error_mb,X1,error_X1,c,error_c,LogMst,error_Mst,tmax,error_tmax,"cov(mb,s)","cov(mb,c)","cov(s,c)",set,Radeg,Dedeg,bias,omegam,error_omegam,alpha,error_alpha,beta,error_beta,MB1,error_MB1,deltaM,error_deltaM,deltaM_9,deltaM_9.5,deltaM_10.5,deltaM_11,deltaM_9.9,deltaM_10.1,chi_sq,mydeltaM,mydeltaM_max,mydeltaM_min,deltaM_sSFR,deltaM_sSFR_err,,Host_Galaxy_Data,SN_Name,zcmb,logMst,Mst_upper,Mst_lower,logSFR,SFR_upper,SFR_lower,logsSFR,sSFR_upper,sSFR_lower,local_SFR,local_SFR_upper,local_SFR_lower
03D4dh,0.625233,0.627,0,23.386939,0.091453,1.12789,0.183953,-0.042907,0.049556,9.414,0.1625,52906.26132,0.266379,0.001269,0.000652,-0.000286,1,334.37928,-17.629653,-0.000474,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,03D4dh,0.627,9.46,9.64,9.31,0.91,1.15,0.38,-8.55,-8.16,-9.26,,,
03D4di,0.896944,0.899,0,24.333328,0.109618,1.454285,0.416048,-0.084188,0.064346,9.879,0.0635,52901.05911,0.533964,0.009161,-0.001625,0.003864,1,333.542663,-17.506617,-0.021066,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,03D4di,0.899,9.93,10.04,9.91,1.61,1.64,1.35,-8.32,-8.27,-8.69,,,
03D4dy,0.608261,0.61,0,23.24535,0.090819,1.138023,0.183456,-0.098377,0.036013,5.294,52.8705,52904.25424,0.256673,0.001827,0.000386,0.000832,1,333.710523,-17.956479,0.000104,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,03D4dy,0.61,5.33,6.78,4.33,<(-3),,,,,,,,
03D4fd,0.789054,0.791,0,24.222261,0.099608,0.784211,0.472461,-0.042547,0.065807,10.005,0.2195,52938.5323,0.701119,0.004293,-0.00083,0.004876,1,334.060214,-17.395573,-0.010749,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,03D4fd,0.791,10.05,10.29,9.85,-0.23,1.5,-0.37,-10.28,-8.35,-10.66,,,
03D4gf,0.578292,0.58,0,23.324299,0.090072,0.509293,0.312213,-0.036082,0.037889,7.638,0.2905,52936.58416,0.410489,0.002358,0.000382,0.002465,1,333.595552,-17.734032,0.000897,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,03D4gf,0.58,7.68,7.95,7.37,-0.69,-0.4,-1.02,-8.37,-7.77,-8.97,,,
03D4gg,0.59028,0.592,0,23.431058,0.092935,1.001108,0.434531,0.011626,0.039609,10.162,0.0055,52943.10716,0.554286,0.006612,0.000114,0.000114,1,334.167458,-18.164458,0.000614,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,03D4gg,0.592,10.2,10.21,10.19,1.74,1.74,1.73,-8.46,-8.45,-8.48,,,
04D1aj,0.719626,0.721,0,23.898687,0.095665,0.391447,0.356584,-0.033571,0.066572,6,5,52998.96203,0.560532,0.005052,-0.000237,0.001316,1,36.474835,-4.99461,-0.005402,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,,,,,,,,,,,,,,
04D1dc,0.210032,0.211,0,21.056779,0.085765,-1.236256,0.061648,-0.002674,0.025159,10.635,0.0415,53230.68028,0.159906,-0.000108,0.000598,-0.000205,1,36.576935,-4.311968,-0.000962,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,04D1dc,0.211,10.65,10.7,10.62,0.56,0.59,0.46,-10.09,-10.03,-10.24,,,
04D1de,0.76659,0.768,0,24.132026,0.096641,0.905821,0.243846,-0.118769,0.055806,9.64,0.1665,53245.99748,0.2437,0.004224,-0.00014,-0.000465,1,36.649621,-4.422623,-0.008877,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,04D1de,0.768,9.69,9.92,9.59,1,1.36,0.41,-8.69,-8.23,-9.51,,,
04D1ff,0.858513,0.86,0,24.246115,0.101579,0.72806,0.277044,0.047131,0.057566,8.73,0.3045,53251.19366,0.33447,0.004969,-0.00069,0.00072,1,36.410924,-4.902631,-0.017206,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,04D1ff,0.86,8.78,9.32,8.71,-0.68,0.75,-0.95,-9.46,-7.96,-10.27,,,
04D1hd,0.367904,0.369,0,22.156621,0.086082,0.788975,0.068129,-0.092073,0.022091,8.199,0.0905,53268.29757,0.081465,7.20E-05,0.000438,-0.000149,1,36.536808,-4.109634,0.000125,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,04D1hd,0.369,8.22,8.34,8.16,-0.11,-0.08,-0.83,-8.33,-8.24,-9.17,,,
04D1hx,0.558746,0.56,0,23.699983,0.089573,0.28513,0.191809,0.111683,0.035476,9.645,0.1335,53260.05945,0.267003,0.001349,0.000524,6.80E-05,1,36.177063,-4.790326,0.001262,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,04D1hx,0.56,9.68,9.82,9.55,0.33,0.62,0.21,-9.35,-8.93,-9.61,,,
04D1hy,0.848509,0.85,0,24.295329,0.10052,1.151184,0.275975,-0.054238,0.055401,8.086,0.8255,53264.64092,0.39357,0.003284,-0.000753,0.000355,1,36.036226,-4.831071,-0.016226,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,04D1hy,0.85,8.14,9.1,7.45,-0.48,-0.01,-1.46,-8.62,-7.46,-10.56,,,
04D1iv,0.99639,0.998,0,24.617672,0.112483,1.27336,0.343306,-0.131063,0.051486,9.034,0.45,53264.47253,0.474194,0.00626,-0.001508,0.001697,1,36.200212,-4.152559,-0.030989,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,04D1iv,0.998,9.09,9.55,8.65,0.74,0.93,0.11,-8.35,-7.72,-9.44,,,
04D1jd,0.776594,0.778,0,24.397768,0.098366,0.13522,0.286534,0.099259,0.070323,10.38,0.1475,53259.20351,0.451405,0.003488,-0.000644,0.002038,1,36.961818,-4.94379,-0.009695,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,04D1jd,0.778,10.43,10.52,10.22,0.05,0.28,-0.3,-10.38,-9.94,-10.82,,,
04D1jg,0.582932,0.5842,0,23.273246,0.09012,0.265156,0.158945,-0.104618,0.033952,11.338,0.1505,53273.5665,0.212852,0.001492,0.000369,0.000478,1,36.552319,-4.1348,0.000793,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,04D1jg,0.584,11.38,11.6,11.29,1.32,1.42,0.68,-10.06,-9.87,-10.92,,,
04D1kj,0.583743,0.585,0,23.335798,0.089495,0.218145,0.126028,-0.062764,0.029728,9.929,0.1075,53297.24629,0.166859,0.000804,0.00036,-2.00E-05,1,36.969417,-4.180252,0.000774,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,04D1kj,0.585,9.97,10.13,9.91,1.51,1.65,0.81,-8.46,-8.26,-9.32,,,
04D1ks,0.796552,0.798,0,24.128917,0.098413,0.698641,0.26332,0.094253,0.062032,7.966,0.719,53291.39043,0.382333,0.003176,-0.000539,0.001497,1,36.039649,-4.978721,-0.0114,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,04D1ks,0.798,8.02,9.02,7.59,-1.45,-0.03,-1.93,-9.47,-7.62,-10.95,,,
04D1oh,0.588721,0.59,0,23.396414,0.091211,-0.066782,0.20667,-0.068922,0.033246,9.17,0.1525,53308.2746,0.204309,0.003106,0.000397,0.000623,1,36.25984,-4.236187,0.000653,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,04D1oh,0.59,9.21,9.31,9,-0.11,0.37,-0.15,-9.32,-8.63,-9.46,,,
04D1ow,0.913473,0.915,0,24.343967,0.104751,-0.04407,0.285862,-0.160738,0.052163,9.397,1.3735,53311.74573,0.341331,0.005516,-0.000809,0.001067,1,36.677899,-4.30619,-0.022752,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,04D1ow,0.915,9.45,9.76,7.01,<(-3),,,,,,,,
04D1pc,0.768587,0.77,0,24.546176,0.097274,-0.334164,0.33888,0.085159,0.063616,10.418,0.1795,53324.79175,0.461441,0.004237,-6.20E-05,0.003505,1,36.60365,-4.3994,-0.009039,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,04D1pc,0.77,10.47,10.68,10.32,0.96,1.07,-0.05,-9.51,-9.25,-10.73,,,
04D1pd,0.948455,0.95,0,24.677344,0.112213,0.182611,0.422231,0.041278,0.060796,10.215,0.1145,53318.5044,0.675128,0.010499,-0.001529,0.00254,1,36.915633,-4.631172,-0.02631,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,04D1pd,0.95,10.27,10.34,10.11,-0.33,0.06,-0.44,-10.6,-10.05,-10.78,,,
04D1pg,0.513793,0.515,0,23.572554,0.090087,0.985964,0.196013,0.102976,0.035785,9.808,0.161,53326.88772,0.243145,0.002656,0.000695,0.001284,1,36.767329,-4.175287,0.001678,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,04D1pg,0.515,9.84,10.02,9.7,0.66,1.16,-0.02,-9.18,-8.54,-10.04,,,
04D1pp,0.733609,0.735,0,23.98538,0.094433,-1.34455,0.222627,-0.116857,0.052643,11.382,0.0895,53320.36514,0.342305,0.001788,0.000185,0.000375,1,36.301993,-4.701584,-0.006371,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,04D1pp,0.735,11.43,11.53,11.35,<(-3),,,,,,,,
