Name,zcmb,zhel,error,mb,error_mb,X1,error_X1,c,error_c,LogMst,error_Mst,tmax,error_tmax,"cov(mb,s)","cov(mb,c)","cov(s,c)",set,Radeg,Dedeg,bias,omegam,error_omegam,alpha,error_alpha,beta,error_beta,MB1,error_MB1,deltaM,error_deltaM,deltaM_9,deltaM_9.5,deltaM_10.5,deltaM_11,deltaM_9.9,deltaM_10.1,chi_sq,mydeltaM,mydeltaM_max,mydeltaM_min,deltaM_sSFR,deltaM_sSFR_err,,Host_Galaxy_Data,SN_Name,zcmb,logMst,Mst_upper,Mst_lower,logSFR,SFR_upper,SFR_lower,logsSFR,sSFR_upper,sSFR_lower,local_SFR,local_SFR_upper,local_SFR_lower
SDSS16211,0.30933,0.31094,0,22.130926,0.137464,-1.964016,0.625845,0.004445,0.070422,11.226,0.005,54041.48721,0.575672,0.033017,0.00228,0.008643,2,348.16409,0.266932,-0.000115,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,16211,,,,,,,,,,,,,
SDSS16213,0.24857,0.25,0,21.127943,0.115731,0.279927,0.429849,-0.096848,0.03836,5,10,54053.58068,0.414496,0.007837,0.000993,0.003899,2,8.971051,0.258405,-0.000515,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,16213,0.248567,,,,,,,,,,,,
SDSS16232,0.36554,0.367,0,22.13649,0.137024,-0.145799,0.82901,-0.111398,0.068462,10.504,0.105,54045.02868,0.842626,0.049056,0.002465,0.026024,2,17.20541,-0.989553,-0.000224,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,16232,0.374254,10.537,10.553,10.34,-0.406,-0.39,-0.528,-10.943,-10.73,-11.081,,,
SDSS16259,0.11771,0.11908,0,20.03987,0.113079,-1.540003,0.22401,0.07502,0.027652,11.013,0.17,54052.30915,0.199371,0.001412,0.000697,0.001004,2,352.029971,0.856355,-0.001214,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,16259,,,,,,,,,,,,,
SDSS16276,0.19176,0.193,0,20.740998,0.114367,-0.018646,0.551403,-0.026411,0.03185,8.82,0.348,54057.36869,0.3665,0.009763,0.000814,0.006101,2,20.578657,1.010615,-0.001004,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,16276,0.191763,8.82,9.333,8.637,-0.778,-0.086,-0.989,-9.598,-8.723,-10.322,,,
SDSS16281,0.18255,0.184,0,20.47384,0.114391,-0.873266,0.510227,-0.07317,0.032312,10.141,0.0435,54055.40293,0.345403,0.008315,0.000855,0.006058,2,352.942151,-0.668052,-0.001069,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,16281,,,,,,,,,,,,,
SDSS16350,0.23472,0.2361,0,21.130073,0.116813,-1.345527,0.544367,-0.090072,0.043795,10.525,0.069,54054.12812,0.441841,0.010202,0.001209,0.006173,2,323.639488,-0.885831,-0.000638,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,16350,0.236836,10.525,10.655,10.517,0.3,0.592,0.291,-10.225,-9.925,-10.364,,,
SDSS16352,0.24647,0.248,0,20.845774,0.115433,0.273411,0.849504,-0.141815,0.039512,9.769,0.5475,54059.08243,0.673456,0.01641,0.001047,0.014561,2,346.249358,-0.873365,-0.000534,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,16352,,,,,,,,,,,,,
SDSS16402,0.28845,0.29,0,20.859757,0.116661,-0.872064,0.779949,-0.186671,0.042448,10.996,0.0995,54059.49201,0.554159,0.016799,0.00103,0.012985,2,336.36772,0.265275,-0.000213,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,16402,0.288449,10.996,11.01,10.811,0.052,0.067,-0.057,-10.944,-10.744,-11.067,,,
SDSS16473,0.2096,0.211,0,20.739132,0.115465,-1.073325,0.867789,-0.148416,0.041364,9.907,0.239,54062.36043,0.840318,0.004784,0.000872,0.014738,2,328.612152,0.588515,-0.000861,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,16473,,,,,,,,,,,,,
SDSS16618,0.19198,0.1932,0,20.466522,0.114573,-0.792727,0.603726,-0.09709,0.032471,9.907,0.1215,54067.26226,0.701596,-0.000817,0.000515,0.008545,2,21.279373,-1.218938,-0.001002,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,16618,0.191925,9.907,10.134,9.891,0.31,0.78,0.173,-9.597,-9.111,-9.961,,,
SDSS16619,0.11402,0.1151,0,19.173326,0.11346,-0.191925,0.593399,-0.08585,0.027195,8.332,0.7255,54069.58133,0.683113,-0.007744,0.000289,0.009223,2,25.938738,-1.111919,-0.0012,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,16619,0.114024,8.332,9.013,7.562,-1.161,-0.496,-2.294,-9.493,-8.058,-11.307,,,
SDSS16641,0.11389,0.115,0,19.719269,0.113093,1.053347,0.621248,0.039734,0.029796,10.477,0.166,54069.19786,0.628262,0.002892,0.000595,0.010691,2,23.56123,-0.403632,-0.001199,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,16641,,,,,,,,,,,,,
SDSS16737,0.1988,0.2,0,20.519882,0.124264,-0.44361,0.714551,-0.075727,0.045945,10.07,0.369,54068.7572,0.946165,-0.008166,0.000504,0.010785,2,312.83268,-0.952322,-0.00095,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,16737,0.1988,10.07,10.524,9.786,0.334,0.696,-0.169,-9.736,-9.09,-10.693,,,
SDSS16793,0.22058,0.222,0,20.764062,0.138465,0.524838,1.379829,-0.051257,0.050845,5,10,54070.76275,1.932449,-0.044995,0.000478,0.020375,2,328.575356,0.44701,-0.000765,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,16793,0.220585,,,,,,,,,,,,
SDSS17168,0.18257,0.184,0,20.59859,0.115147,0.503374,0.302924,-0.039676,0.032445,9.52,0.16,54356.9479,0.286887,0.005314,0.000828,0.001011,2,339.723804,-1.167083,-0.001069,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,17168,0.183757,9.74,9.846,9.515,0.619,0.633,0.095,-9.121,-8.882,-9.751,,,
SDSS17171,0.15895,0.16027,0,19.93795,0.145393,-0.384727,0.34296,-0.141622,0.041138,10.628,0.009,54340.66153,1.432067,-0.00288,0.003042,-0.000371,2,326.502041,-1.21773,-0.001195,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,17171,,,,,,,,,,,,,
SDSS17186,0.07849,0.07944,0,19.240437,0.113854,0.642723,0.148902,0.111359,0.024312,10.562,0.164,54353.81089,0.18679,0.001927,0.000619,0.000107,2,31.612825,-0.89955,-0.000888,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,17186,,,,,,,,,,,,,
SDSS17208,0.13864,0.14,0,19.983006,0.119461,0.836869,0.362615,-0.068099,0.029302,8.2,0.576,54342.03036,1.034356,-0.007419,0.001053,-0.001128,2,1.491593,1.103086,-0.001243,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,17208,0.138637,8.2,9.061,7.909,-1.398,-0.593,-2.279,-9.598,-8.502,-11.34,,,
SDSS17215,0.18079,0.18136,0,20.579248,0.117616,0.282892,0.417374,0.015433,0.037024,11.24,0.1015,54350.99412,0.721577,0.004137,0.001134,0.000941,2,54.92638,1.092299,-0.001081,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,17215,0.180792,11.24,11.258,11.055,0.297,0.901,0.187,-10.943,-10.154,-11.071,,,
SDSS17218,0.17757,0.179,0,20.428083,0.114576,-0.760469,0.402479,-0.084884,0.031246,10.015,0.264,54349.49774,0.543868,0.003841,0.000708,0.000631,2,356.171815,-0.030055,-0.001101,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,17218,0.176962,10.015,10.353,9.825,0.473,0.718,-0.054,-9.542,-9.107,-10.407,,,
SDSS17220,0.17066,0.172,0,20.55707,0.115012,1.820322,0.283743,0.150278,0.031415,10.466,0.0555,54356.92282,0.28772,0.004936,0.000877,0.000812,2,9.701524,-0.179249,-0.001141,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,17220,,,,,,,,,,,,,
SDSS17223,0.23381,0.235,0,20.863174,0.118911,1.013494,0.666082,-0.070271,0.042764,5,10,54347.0041,1.623021,-0.010717,0.00142,-0.011397,2,26.361374,-0.019418,-0.000647,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,17223,0.233812,,,,,,,,,,,,
SDSS17240,0.07153,0.07275,0,18.172291,0.157968,-1.466919,0.368053,-0.121433,0.057874,10.813,0.1205,54337.3257,1.137239,0.018415,0.005866,0.005126,2,8.640957,-1.217578,-0.000787,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,17240,,,,,,,,,,,,,
SDSS17253,0.15463,0.156,0,19.970376,0.1715,-0.196987,0.420496,-0.122244,0.065854,10.642,0.259,54341.61792,1.33532,0.018059,0.007346,0.005678,2,2.994201,0.99815,-0.001211,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,17253,,,,,,,,,,,,,
SDSS17258,0.0901,0.091,0,18.818896,0.124187,0.316969,0.210491,0.027279,0.032557,9.647,0.181,54342.58,0.645576,0.002077,0.001602,0.00014,2,35.738617,1.02576,-0.001027,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,17258,0.088059,9.647,9.777,9.415,0.037,0.238,-0.078,-9.61,-9.177,-9.855,-1.9,-1.741,-2.151
SDSS17274,0.17658,0.178,0,20.397033,0.1635,1.957731,0.536123,-0.136685,0.077192,8.963,0.141,54352.87976,2.336975,-0.013374,0.008604,-0.011383,2,359.341503,0.105858,-0.001107,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,17274,0.194663,9.019,9.224,9.005,-0.106,0.272,-0.237,-9.125,-8.733,-9.461,,,
SDSS17280,0.13045,0.13098,0,19.653248,0.147057,-0.839375,0.287151,-0.198044,0.050477,10.785,0.3045,54343.80329,0.929324,0.010458,0.004303,0.004365,2,55.791908,0.102471,-0.001242,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,17280,0.130452,10.785,11.183,10.574,1.049,1.407,0.549,-9.736,-9.167,-10.634,,,
SDSS17332,0.18204,0.18286,0,20.680621,0.115898,-0.237165,0.267541,0.036489,0.033755,10.532,0.103,54358.07736,0.241959,0.005016,0.000948,0.000746,2,43.773479,-0.147425,-0.001072,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,17332,0.182025,10.532,10.548,10.342,-0.411,0.193,-0.526,-10.943,-10.149,-11.074,,,
SDSS17340,0.25617,0.25709,0,21.318433,0.119755,-0.075475,0.430044,-0.006613,0.042745,11.229,0.095,54356.40746,0.392662,0.012366,0.001173,0.001825,2,41.21209,0.364833,-0.00045,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,17340,,,,,,,,,,,,,
SDSS17366,0.13811,0.13929,0,19.554935,0.112284,0.567102,0.165926,-0.095614,0.022655,10.756,0.322,54351.46402,0.251076,0.001203,0.000493,0.000168,2,315.787289,-1.029184,-0.001243,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,17366,0.138109,10.756,11.242,10.598,0.53,1.383,-0.053,-10.226,-9.215,-11.295,,,
SDSS17389,0.1707,0.172,0,20.780026,0.115438,1.13039,0.371505,0.058277,0.032568,9.793,0.1945,54352.99333,0.396311,0.006604,0.00088,0.001056,2,323.294876,-0.96015,-0.001141,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,17389,0.169599,9.793,10.133,9.744,0.252,0.516,0.238,-9.541,-9.228,-9.895,,,
SDSS17435,0.21674,0.218,0,20.709521,0.115124,0.90173,0.253993,-0.108869,0.034709,8.005,0.7075,54359.36158,0.296512,0.003835,0.000861,-6.00E-06,2,20.344587,-0.014803,-0.000799,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,17435,0.216737,8.005,8.681,7.266,-0.731,-0.05,-1.075,-8.736,-7.316,-9.756,,,
SDSS17464,0.24555,0.247,0,21.091966,0.116206,0.08144,0.566752,0.052687,0.040525,8.864,0.445,54358.58445,1.173957,0.00112,0.001058,-0.003485,2,6.640777,0.041985,-0.000542,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,17464,0.24555,8.864,9.312,8.422,0.159,0.425,-0.419,-8.705,-7.997,-9.731,,,
SDSS17497,0.14382,0.14473,0,20.04551,0.111949,0.911414,0.123176,0.037728,0.022481,10.129,0.2215,54364.73538,0.121128,0.000754,0.000479,0.000114,2,37.13657,-1.042117,-0.001237,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,17497,0.143873,10.129,10.559,10.116,0.25,0.928,0.237,-9.879,-9.188,-10.322,,,
SDSS17552,0.24862,0.25,0,21.302566,0.11712,1.242872,0.405157,0.000278,0.041987,10.483,0.108,54357.26759,0.494621,0.007112,0.001051,0.000398,2,322.320553,-1.003178,-0.000515,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,17552,0.251909,10.483,10.504,10.288,-0.46,0.292,-0.58,-10.943,-9.996,-11.084,,,
SDSS17605,0.14533,0.14643,0,20.060753,0.119235,0.715631,0.440708,0.014894,0.037671,10.704,0.304,54352.59286,0.919738,-0.000341,0.001501,-0.000994,2,309.20277,0.098444,-0.001235,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,17605,0.145333,10.704,11.09,10.482,0.793,1.218,0.399,-9.911,-9.264,-10.691,,,
SDSS17629,0.13588,0.1369,0,20.059419,0.113673,-0.347675,0.145355,0.060305,0.026647,11.041,0.2025,54370.39961,0.111941,0.002142,0.000703,0.000639,2,30.636435,-1.089188,-0.001244,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,17629,0.13639,11.041,11.265,10.86,0.098,0.965,-0.008,-10.943,-9.895,-11.273,,,
SDSS17745,0.05874,0.06,0,17.862299,0.114585,1.071379,0.120922,-0.050084,0.025517,8.744,0.1095,54372.43381,0.1345,0.002014,0.000642,0.000421,2,2.960264,-0.339205,-0.00056,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,17745,0.062145,8.744,8.902,8.683,-0.564,-0.046,-0.687,-9.308,-8.729,-9.589,-1.973,-1.797,-2.244
SDSS17784,0.03652,0.03707,0,17.320514,0.115396,-0.728272,0.077428,0.060325,0.022264,9.099,0.1755,54367.03693,0.074744,0.000785,0.000449,4.30E-05,2,52.461727,0.056828,-3.50E-05,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,17784,0.03652,9.099,9.436,9.085,-0.68,0.058,-0.695,-9.779,-9.027,-10.131,,,
SDSS17791,0.27749,0.279,0,21.739047,0.136665,0.247627,0.692367,-0.186998,0.060528,8.946,0.303,54366.71343,0.553463,0.042544,0.001982,0.011952,2,332.373276,0.737893,-0.000284,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,17791,0.277487,8.946,9.388,8.782,-0.179,0.267,-0.538,-9.125,-8.515,-9.926,,,
SDSS17801,0.20515,0.2064,0,21.18231,0.131465,-0.677573,0.479734,-0.017143,0.054168,11.251,0.0065,54365.72246,0.329793,0.026611,0.002937,0.010669,2,316.093201,-0.898024,-0.000898,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,17801,0.205146,11.251,11.257,11.244,0.307,0.314,0.3,-10.944,-10.93,-10.957,,,
SDSS17809,0.28051,0.282,0,21.478247,0.122739,1.5228,0.426695,0.030003,0.041139,9.919,0.288,54370.57487,0.318607,0.018013,0.0014,0.003972,2,6.364582,-0.839571,-0.000263,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,17809,0.287457,9.957,10.127,9.7,0.394,0.636,0.225,-9.563,-9.064,-9.902,,,
SDSS17811,0.19867,0.2,0,20.49004,0.114249,1.031546,0.297419,-0.097533,0.026766,5,10,54355.28843,0.273044,0.005667,0.000554,0.000459,2,12.878674,-0.947399,-0.000951,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,17811,0.198667,,,,,,,,,,,,
SDSS17825,0.15999,0.161,0,20.410888,0.113136,-0.149097,0.157928,0.006164,0.026663,5,10,54367.0177,0.15653,0.001721,0.00062,0.000411,2,32.947124,-0.912429,-0.001191,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,17825,0.159994,,,,,,,,,,,,
SDSS17875,0.21075,0.212,0,21.022641,0.116152,1.120316,0.320101,-0.030671,0.03845,10.533,0.228,54362.45558,0.40222,0.005261,0.000913,-0.000589,2,20.983381,1.254994,-0.000851,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,17875,,,,,,,,,,,,,
SDSS17880,0.07195,0.07267,0,18.984126,0.112772,-0.923587,0.108898,0.181137,0.02598,10.07,0.2365,54363.27077,0.157028,0.000753,0.000536,-6.80E-05,2,44.972374,1.160707,-0.000793,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,17880,0.071952,10.07,10.434,9.961,-0.005,0.798,-0.017,-10.075,-9.163,-10.451,,,
SDSS17884,0.23782,0.239,0,20.859375,0.116252,0.664166,0.28044,-0.124117,0.03674,10.134,0.3855,54369.03298,0.270993,0.006059,0.000897,0.000898,2,27.599838,1.172075,-0.000611,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,17884,0.237751,10.134,10.714,9.943,0.127,0.923,0.042,-10.007,-9.02,-10.672,,,
SDSS1794,0.14139,0.1426,0,20.083504,0.113002,1.153668,0.317399,0.030808,0.025736,9.7,0.596,53624.72013,0.552737,0.000467,0.000618,0.000402,2,317.836819,-0.445333,-0.00124,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,1794,0.1407,9.035,9.316,8.96,-0.09,0.329,-0.358,-9.125,-8.631,-9.674,,,
SDSS18030,0.15506,0.15641,0,20.385861,0.118308,-0.605778,0.244877,-0.052008,0.033517,9.701,0.1585,54373.10272,0.201422,0.007663,0.001206,0.002786,2,4.932975,-0.400135,-0.001209,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,18030,0.155172,9.701,9.809,9.492,0.718,0.769,0.215,-8.983,-8.723,-9.594,,,
SDSS18091,0.37013,0.3715,0,21.893176,0.138604,-0.647918,0.649742,-0.195436,0.063142,11.162,0.2285,54372.17721,0.582745,0.042947,0.001873,0.015513,2,23.367535,0.524681,-0.000264,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,18091,0.369762,11.162,11.239,10.782,1.472,1.483,1.134,-9.69,-9.299,-10.105,,,
SDSS18241,0.09391,0.095,0,19.176568,0.11374,-1.123374,0.12998,-0.085483,0.025315,10.016,0.37,54372.95021,0.157066,0.001639,0.000632,0.000163,2,312.387741,-0.761723,-0.001064,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,18241,,,,,,,,,,,-1.888,-1.596,-2.291
SDSS18298,0.11863,0.11982,0,20.541778,0.127194,-2.724252,0.288071,0.255113,0.047959,10.684,0.17,54374.32564,0.212193,0.01227,0.002621,0.005152,2,18.266731,-0.540012,-0.001217,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,18298,,,,,,,,,,,,,
SDSS18323,0.15363,0.155,0,20.240999,0.115274,0.15976,0.219868,-0.043411,0.028313,9.261,0.454,54375.47896,0.162004,0.005078,0.000808,0.001417,2,3.428632,0.652155,-0.001214,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,18323,0.152714,9.261,9.789,8.94,-0.093,0.096,-0.783,-9.354,-8.844,-10.572,,,
SDSS18325,0.25356,0.255,0,21.278008,0.120869,0.392895,0.368987,-0.055306,0.044017,11.019,0.1985,54378.64908,0.426814,0.011958,0.001321,0.00304,2,8.905735,0.370035,-0.000472,0.295,0.034,0.141,0.006,3.101,0.075,-19.05,0.02,-0.07,0.023,-0.099,-0.101,-0.141,-0.16,-0.073,-0.076,682/735,-0.049,-0.032,-0.066,-0.046,0.015,,,18325,,,,,,,,,,,,,
